np;time
1;2.935
2;1.509
3;1.040
4;0.827
5;0.696
6;0.608
7;0.576
8;0.496
9;0.474
10;0.451
11;0.430
12;0.411
13;0.402
14;0.383
15;0.368
16;0.342
17;0.418
18;0.435
19;0.433
20;0.435
21;0.445
22;0.449
23;0.467
24;0.486
25;0.500
26;0.508
27;0.499
28;0.517
29;0.525
30;0.552
31;0.566
32;0.584
33;0.607
34;0.598
35;0.612
36;0.625
37;0.654
38;0.663
39;0.675
40;0.695
41;0.707
42;0.730
43;0.746
44;0.770
45;0.792
46;0.802
47;0.823
48;0.838
49;0.863
50;0.864
51;0.895
52;0.911
53;0.933
54;0.943
55;0.965
56;0.968
57;0.993
58;1.022
59;1.035
60;1.066
61;1.062
62;1.088
63;1.096
64;1.120
